V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.539714201,0.554235162,0.516178405,0.518024731,0.573210954,0.610933247,0.545265342,0.702774087,0.596130421,0.609453089,0.554033348,0.257153486,0.315862256
0.235611308,0.237551648,0.204872439,0.19965558,0.222624328,0.228228592,0.166728854,0.222025302,0.173925416,0.188485684,0.1626673,0.238292978,0.827968376
0.344274565,0.327918306,0.300084454,0.295963978,0.321443676,0.334982818,0.210374048,0.334801899,0.229596477,0.241804005,0.268929165,0.188987602,0.262745499
0.225254793,0.217754154,0.234232391,0.244699837,0.24198524,0.241896619,0.246028072,0.241288586,0.232431797,0.216323133,0.147017149,0.178293838,0.173750399
0.323253592,0.330682902,0.326748789,0.342265602,0.346496507,0.360588178,0.388561745,0.359426866,0.337787205,0.309775708,0.197374755,0.081291731,0.110759068
0.216678288,0.205511245,0.23052865,0.235261572,0.235895139,0.220368787,0.154849527,0.116291422,0.103754082,0.082617023,0.046367981,0.094555241,0.217358367
0.342365655,0.31859422,0.384565524,0.386756852,0.378028916,0.354247649,0.113856441,0.090839303,0.116579428,0.059585298,0.079799281,0.533952329,1.351379777
0.64864181,0.680549233,0.642954379,0.653544914,0.711187755,0.759781602,0.718257288,0.82939855,0.796805289,0.775556394,0.692565474,0.298088491,0.415972597
0.534997069,0.540212001,0.537998274,0.545690928,0.578393311,0.566082123,0.419127388,0.473685595,0.368285151,0.327124272,0.192297118,0.086765701,0.169926844
0.197682478,0.197625488,0.177555503,0.180081259,0.192324598,0.196713016,0.204674399,0.195784083,0.145362784,0.12619032,0.023726686,-0.028915624,0.113821657
0.015677938,0.011313163,0.006033606,0.005587886,0.006942545,0.00804151,-0.001063704,0.005448826,-0.006550039,-0.008311943,0.038602714,0.379216825,0.452520452
0.434862013,0.460138366,0.465922965,0.47749012,0.495043693,0.478031909,0.429405892,0.437687976,0.444107898,0.455873515,0.318697683,0.202674357,0.3576228
0.269483298,0.257621113,0.242393507,0.243989703,0.255140831,0.262085668,0.209275277,0.256034488,0.203091909,0.215690817,0.130014043,0.087452591,0.240921164
0.376880513,0.358481113,0.359541458,0.341696551,0.380387409,0.369459603,0.112256046,0.167355117,0.140518238,0.110992375,0.173389696,0.620203108,0.696462441
0.707993267,0.743519372,0.739100034,0.759145727,0.808399703,0.835348421,0.809329098,0.921591464,0.838870119,0.859890088,0.750156195,0.216769476,0.117622807
0.319828361,0.331596034,0.286282049,0.266592175,0.314327609,0.302624399,0.079034403,0.136875584,0.122816008,0.100401068,0.2564949,0.832983027,0.97386644
0.788637162,0.810999845,0.671189909,0.640733562,0.769103957,0.796710431,0.393728685,0.727243256,0.525186197,0.661349068,0.574415007,0.337095138,0.275950388
