"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
0.000107611843683463,0.000124197589213559,1.41828894804076e-05,8.32241424435609e-05,2.54137772228514e-05,0.000104091320096779,7.64135962592835e-05,0.00047934342809835,2.97267824548195e-05,7.01331418470719e-05,0.000234495447386032,0.000183712499992541,5.34207873281891e-06
9.77855136887233e-06,3.68279595029761e-06,3.19642091175718e-06,1.18695918399677e-05,1.52263134195515e-06,5.3079292972672e-06,2.11381877478659e-05,1.16343067260506e-05,5.26631736433864e-06,1.09845747575335e-05,4.13218538467534e-05,4.0766308592033e-05,1.64488311292315e-05
0.000153296922920234,0.000116766371370425,9.68219594107994e-05,0.00020728236642819,4.29095212770886e-05,4.25161382702262e-05,0.000132943801134735,0.000406364428651785,5.47072279273548e-05,0.000242768842580353,0.000369562810993507,0.000828709929114949,1.012484663077e-05
2.87330920332692e-05,4.07411899916865e-05,4.85874157210994e-05,6.17995233744334e-05,8.55719488007589e-06,2.64434026523501e-05,9.90976444694404e-05,7.08797666008376e-05,3.55030033658971e-06,6.62773956982108e-05,4.96643211878012e-06,0.000104333891642158,3.97356408795981e-05
1.86242309195722e-05,1.09891272958127e-05,1.18623710820329e-05,6.18608411332962e-05,2.20873699794004e-06,2.37120419185545e-05,2.68438696311469e-05,2.30202501396585e-05,1.57867236685279e-05,4.54405163570258e-05,1.91034048649003e-05,4.42913515725845e-05,3.03194365042732e-05
7.13127956487065e-06,9.38653242128706e-06,1.66180206129884e-06,8.22763550564717e-06,8.2510005689795e-07,9.16486414360868e-06,3.57858863868742e-05,8.08251070637328e-05,9.48278530650269e-06,8.32881064984691e-06,2.40526732014431e-05,1.35698151474299e-05,1.49719735035573e-05
5.12306154112212e-06,1.07794097242033e-05,6.06367953718062e-06,2.05956938289202e-05,3.83768705681354e-06,1.23402380414048e-05,1.40456147312807e-05,4.96129661001508e-05,3.73225537381917e-06,4.64157980061691e-05,1.43287811165746e-05,1.56449262736693e-05,1.16756070481921e-05
3.38399383142165e-06,3.92613602956344e-06,2.43915064535069e-06,5.46423197088521e-06,3.551911226561e-06,3.37228396852049e-06,3.58017927074015e-05,2.85684892541973e-05,1.17524858625104e-05,1.12980091557594e-05,4.84885395614181e-06,1.54089896583664e-05,8.08116365151267e-06
1.35691806287709e-05,1.91604622385434e-05,2.87455080803677e-06,3.02800272527624e-05,2.05286342710322e-06,1.1204621016854e-05,3.10446140761751e-05,8.0855743653902e-06,6.57566805583071e-06,4.79500769881453e-05,8.04008652753206e-06,1.62736775105679e-05,6.36306261309783e-06
2.49564645138968e-05,2.14501946910503e-05,5.60260433426248e-06,1.16149308401433e-05,6.27367065127468e-06,1.04892692732385e-05,3.31926886964229e-05,2.13566049067466e-05,1.75099163105989e-05,4.1058972395621e-05,7.25655902946354e-06,1.11092635856363e-05,2.11305483172375e-05
1.59132410975409e-05,8.54178648219938e-06,6.00299334201957e-06,1.08009098328057e-05,2.34328678220815e-06,6.25677268720885e-06,6.03767075516719e-06,1.68456291593576e-05,3.9483560612768e-06,1.14544519321967e-05,2.19808321807357e-05,3.06518937069724e-05,6.5408804234039e-06
2.00341340783727e-05,4.1422149650827e-05,5.34847087041385e-06,1.58515268966803e-05,4.7804963650831e-06,6.29373639092449e-06,4.13212932930537e-05,8.0054874589329e-05,8.34536153536438e-06,8.17101302017982e-06,0.000139744480763102,4.06304584476724e-05,4.31744570640915e-05
9.88969195718218e-06,3.25315858232725e-05,7.70663755400162e-06,1.61853051997352e-05,2.25344776578892e-06,9.52226585405694e-06,0.000103605060626065,0.000161164090191044,1.82376378455764e-05,1.97138819926744e-05,4.6974327371298e-05,9.77770796379675e-05,8.20954704983686e-06
4.22473059585635e-06,3.8371878241142e-06,4.64604131679055e-06,9.2485057695589e-06,2.07396790711393e-06,2.12484775814037e-06,1.13557273636949e-05,3.35992241450507e-05,1.71600965775524e-05,8.36947419650394e-06,3.85180691912191e-05,1.89816678387228e-05,3.66274324204518e-05
1.48207689098572e-05,2.14203551323085e-05,1.23668553576592e-05,8.15509758500931e-06,5.51564373138553e-06,1.4834563467462e-05,6.93441041362366e-05,0.000280365022675334,5.92236488916328e-06,1.12032058872567e-05,3.8329928099241e-05,7.03712761354195e-05,1.63606454176299e-05
2.70385086178104e-05,3.8664925408704e-05,3.1434013369737e-05,1.33138663059097e-05,7.3224844558997e-06,4.32367851478064e-05,0.000170324175733702,0.00016114421867686,4.25329748208187e-05,0.000101385364319249,0.00013391152234302,0.000103909785924931,8.82754265782068e-06
1.33572774609427e-05,0.000100843608441762,1.19405980863847e-05,3.05647873355516e-05,1.14680200470473e-05,1.93240846746437e-05,7.14571584397524e-05,0.000107656043479391,6.28814481035378e-06,7.06184904963826e-05,3.56606576841277e-05,0.000152027851431815,1.36868477157319e-05
1.26882387760179e-05,3.13994374062907e-05,2.92743665781658e-06,1.84778002227897e-05,4.5507767798145e-06,5.81641121424462e-06,6.12977157350748e-05,2.09249647491959e-05,6.72354502568956e-06,1.05558951543437e-05,1.84051104625839e-05,2.61691562671005e-05,1.14701616113799e-05
